Geography,Total.Pop,Percent.Non.White,Percent.Below.Poverty,Median.Household.Income,Percent.Bachelors.Plus,Lat,Lon
Alabama,4799277,30.7,18.6,43253,22.6,32.7396323,-86.8434593
Alaska,720316,33.1,9.9,70760,27.5,63.346191,-152.8370679
Arizona,6479703,20.8,17.9,49774,26.9,34.2099643,-111.602401
Arkansas,2933369,21.7,19.2,40768,20.1,34.8955256,-92.4446262
California,37659181,37.7,15.9,61094,30.7,37.148573,-119.5406515
Colorado,5119329,16.0,13.2,58433,37.0,38.9935752,-105.5077737
Connecticut,3583561,22.1,10.2,69461,36.5,41.5797842,-72.7466666
Delaware,908446,30.0,11.7,59878,28.9,38.9935501,-75.4473739
District of Columbia,619371,59.9,18.6,65830,52.4,38.9041485,-77.0170942
Florida,19091156,23.7,16.3,46956,26.4,28.4574302,-82.4091478
Georgia,9810417,39.4,18.2,49179,28.0,32.629384,-83.4232125
Hawaii,1376298,75.0,11.2,67402,30.1,19.809767,-155.5061027
Idaho,1583364,8.1,15.5,46767,25.1,44.3020948,-114.5956254
Illinois,12848554,27.5,14.1,56797,31.4,40.1028754,-89.1526108
Indiana,6514861,15.4,15.4,48248,23.2,39.9030256,-86.2839503
Iowa,3062553,8.5,12.4,51843,25.7,42.0700243,-93.4933473
Kansas,2868107,14.6,13.7,51332,30.3,38.4985464,-98.3834298
Kentucky,4361333,12.1,18.8,43036,21.5,37.5336807,-85.2929841
Louisiana,4567968,37.1,19.1,44874,21.8,30.8577705,-91.803273
Maine,1328320,4.8,13.6,48453,27.9,45.3906022,-68.6574869
Maryland,5834299,41.6,9.8,73538,36.8,38.9466584,-76.6744939
Massachusetts,6605058,19.5,11.4,66866,39.4,42.1565196,-71.4895915
Michigan,9886095,20.7,16.8,48411,25.9,44.8410835,-85.6593197
Minnesota,5347740,14.4,11.5,59836,32.6,46.3161343,-94.1994801
Mississippi,2976872,40.5,22.7,39031,20.1,32.6864655,-89.6561493
Missouri,6007182,17.0,15.5,47380,26.2,38.35075,-92.4567826
Montana,998554,10.6,15.2,46230,28.7,47.0511771,-109.6348174
Nebraska,1841625,11.8,12.8,51672,28.5,41.5438105,-99.8123253
Nevada,2730066,28.6,15.0,52800,22.4,39.3310928,-116.6151469
