msa.fips,metro.name,county.fips,county.name
33860,"Montgomery, AL (Metropolitan Statistical Area)",01001,"Autauga, AL"
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",01003,"Baldwin, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01007,"Bibb, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01009,"Blount, AL"
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",01015,"Calhoun, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01021,"Chilton, AL"
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",01033,"Colbert, AL"
33860,"Montgomery, AL (Metropolitan Statistical Area)",01051,"Elmore, AL"
23460,"Gadsden, AL (Metropolitan Statistical Area)",01055,"Etowah, AL"
20020,"Dothan, AL (Metropolitan Statistical Area)",01061,"Geneva, AL"
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",01065,"Hale, AL"
20020,"Dothan, AL (Metropolitan Statistical Area)",01067,"Henry, AL"
20020,"Dothan, AL (Metropolitan Statistical Area)",01069,"Houston, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01073,"Jefferson, AL"
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",01077,"Lauderdale, AL"
19460,"Decatur, AL (Metropolitan Statistical Area)",01079,"Lawrence, AL"
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",01081,"Lee, AL"
26620,"Huntsville, AL (Metropolitan Statistical Area)",01083,"Limestone, AL"
33860,"Montgomery, AL (Metropolitan Statistical Area)",01085,"Lowndes, AL"
26620,"Huntsville, AL (Metropolitan Statistical Area)",01089,"Madison, AL"
33660,"Mobile, AL (Metropolitan Statistical Area)",01097,"Mobile, AL"
33860,"Montgomery, AL (Metropolitan Statistical Area)",01101,"Montgomery, AL"
19460,"Decatur, AL (Metropolitan Statistical Area)",01103,"Morgan, AL"
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",01107,"Pickens, AL"
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",01113,"Russell, AL"
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01115,"St. Clair, AL"
